no,gender,age,volume,salary
1,F,60,69900,6325
2,F,30,79000,5200
3,M,52,85500,7825
4,M,57,17100,8375
5,M,55,5500,5450
6,M,68,27200,8550
7,M,41,20500,4500
8,M,20,69000,5050
9,F,33,13200,8325
10,M,37,31800,5975
11,F,33,59200,5700
12,M,21,95800,6475
13,M,48,46200,3850
14,M,46,29800,4100
15,F,68,83000,8125
16,F,35,143500,8650
17,M,72,91300,5125
18,F,20,9800,3950
19,F,26,79500,5325
20,M,60,66400,5775
21,F,49,25900,3400
22,F,22,0,7075
23,M,41,90900,5725
24,F,30,51800,4300
25,M,56,126800,7500
26,F,56,40800,5000
27,M,66,26400,5325
28,F,45,76100,5350
29,M,29,26500,2600
30,M,32,37200,6250
31,F,20,4000,3075
32,M,32,34500,4875
33,F,63,47100,5525
34,F,60,95600,7225
35,M,23,35400,5275
36,M,29,41100,6050
37,M,70,46400,3425
38,M,61,10400,4600
39,M,48,50100,4575
40,M,66,111300,8525
41,M,51,102700,8100
42,F,19,23700,4725
43,F,48,84300,7425
44,M,74,14800,6200
45,M,64,6400,5875
46,M,58,35900,4025
47,M,24,41600,4150
48,M,35,61000,5625
49,M,30,52800,5300
50,M,63,118500,6350
51,M,21,21500,5800
52,F,25,69200,6325
53,M,60,105600,8800
54,F,55,139000,8400
55,M,33,76300,5650
56,F,60,87600,6800
57,M,72,21800,4725
58,F,63,84100,5575
59,M,22,35700,3675
60,F,50,75400,5775
61,F,70,125000,7550
62,F,66,97100,6525
63,M,39,45900,4525
64,M,29,26600,7925
65,F,60,54400,8800
66,F,52,13600,4100
67,M,24,58000,5175
68,M,63,83700,6350
69,F,69,32100,6575
70,M,74,19000,4375
71,F,40,85500,5875
72,M,52,73600,9250
73,M,20,99000,6650
74,M,65,65700,7775
75,F,43,23200,3575
76,F,37,3700,7650
77,M,28,107200,7825
78,F,72,73800,8525
79,M,59,38400,5700
80,M,53,26500,8575
81,F,36,14400,3975
82,F,29,16600,4075
83,F,29,37900,4925
84,M,28,51900,4175
85,M,68,135500,7075
86,F,54,70600,7450
87,M,65,78600,8575
88,M,53,34500,3825
89,M,19,28500,4850
90,M,68,27200,6600
91,M,74,80400,8350
92,F,52,15600,7950
93,F,48,133700,7725
94,M,56,55200,6800
95,M,22,6600,3425
96,F,33,55700,7725
97,M,51,29400,4400
98,M,50,86100,9175
99,F,20,2000,5250
100,F,29,2900,2650
101,M,62,38400,6950
102,M,72,135600,9575
103,F,53,78100,7625
104,F,40,13600,2600
105,F,36,14400,7775
106,M,72,64200,9125
107,M,75,83400,8675
108,F,59,33600,4500
109,F,37,61900,5925
110,F,65,128500,6800
111,F,73,116200,9250
112,M,66,93000,5750
113,M,69,66800,10075
114,F,19,69400,5375
115,M,59,98100,5725
116,M,64,42000,3250
117,M,66,6600,8475
118,M,67,97900,7925
119,M,53,34700,2675
120,M,64,56800,9800
121,F,29,26400,5300
122,M,26,53800,4550
123,M,71,93600,6325
124,F,46,76200,5900
125,M,30,68000,5500
126,M,50,45400,4550
127,F,44,24900,2725
128,F,68,17100,3425
129,F,67,119700,8225
130,F,39,0,6150
131,F,29,24300,3225
132,F,33,48600,6425
133,M,48,51600,3725
134,M,73,59200,3500
135,F,31,53500,4375
136,M,25,0,6325
137,M,64,44800,5200
138,F,32,49200,4475
139,F,71,85900,4875
140,M,34,52500,6375
141,M,72,94000,6525
142,F,58,4400,3100
143,M,67,38700,8325
144,M,33,59400,5850
145,F,51,75000,8250
146,F,41,45800,5675
147,F,24,31200,5600
148,M,21,35300,4075
149,M,36,38000,3475
150,F,57,17100,6275
151,F,23,32400,4025
152,F,55,40400,4450
153,M,55,70400,6400
154,M,25,2500,4575
155,M,30,49200,7025
156,M,53,115500,6450
157,F,75,18800,2950
158,M,34,41800,4350
159,F,48,105700,6325
160,M,33,17500,5550
161,M,29,46400,4175
162,M,24,31200,3800
163,F,61,30500,8950
164,M,34,37100,4525
165,F,25,20700,4050
166,M,41,37400,4775
167,F,31,53600,4575
168,M,75,95100,7425
169,M,31,12400,8075
170,F,26,28500,6525
171,F,57,87500,4950
172,F,23,29500,6500
173,F,39,17300,6325
174,F,30,39000,6875
175,M,28,63500,5175
176,M,67,27700,8925
177,F,22,23300,7825
178,F,32,53600,5350
179,F,73,111800,8075
180,F,65,55400,5675
181,M,39,44700,4750
182,M,57,72900,6200
183,F,38,59700,6975
184,M,69,124800,9525
185,M,72,100700,6675
186,F,66,136200,9275
187,M,22,4400,4750
188,F,30,3000,7975
189,M,41,33300,6225
190,M,23,20600,2800
191,M,57,44700,5450
192,M,25,10000,2875
193,F,74,39200,5975
194,M,44,75600,6175
195,M,44,13200,5325
196,M,22,96600,7900
197,M,39,83700,7675
198,F,25,34000,4000
199,F,30,42000,5500
200,F,23,47600,4150
